setup,trigger,filters,n,win_rate,pnl,pf
break,two,stoch80+rsi70,57,45.614035087719294,411,1.2533908754623921
break,two,stoch80,60,45.0,325,1.186139747995418
break,two,stoch80+upper_wick,60,45.0,325,1.186139747995418
break,two,stoch80+stoch_dead,54,42.592592592592595,202,1.124537607891492
break,two,rsi70,203,44.33497536945813,334,1.0516148972338124
break,two,rsi70+upper_wick,203,44.33497536945813,334,1.0516148972338124
break,two,rsi70+vol_big,118,42.3728813559322,179,1.0471548998946258
break,break2,stoch_dead+rsi70,203,42.857142857142854,289,1.0448618441477802
break,two,stoch_dead+rsi70,195,44.1025641025641,275,1.04419090470834
break,break2,rsi70,204,42.64705882352941,227,1.0349015990159902
break,break2,rsi70+upper_wick,202,42.57425742574257,141,1.0217190388170057
break,break2,rsi70+macd_weak,189,40.74074074074074,-298,0.9518889247659025
break,break2,rsi70+vol_big,110,41.81818181818181,-185,0.9487960143924716
break,break2,stoch80+rsi70,57,36.84210526315789,-99,0.9469737546866631
break,break2,stoch80,58,36.206896551724135,-161,0.9165370658372214
break,break2,stoch80+stoch_dead,58,36.206896551724135,-161,0.9165370658372214
break,break2,stoch80+upper_wick,58,36.206896551724135,-161,0.9165370658372214
break,two,rsi70+macd_weak,172,40.69767441860465,-544,0.9066735289071882
break,break2,stoch80+macd_weak,53,33.9622641509434,-286,0.8415512465373961
break,bear,stoch80,308,36.36363636363637,-1926,0.8275275364914481
break,bear,stoch80+upper_wick,308,36.36363636363637,-1926,0.8275275364914481
break,down,stoch80,308,36.36363636363637,-1926,0.8275275364914481
break,down,stoch80+upper_wick,308,36.36363636363637,-1926,0.8275275364914481
break,break1,rsi70,335,37.61194029850746,-2375,0.7984384282440804
break,break1,stoch_dead+rsi70,325,37.53846153846154,-2310,0.7975637542721935
break,break1,rsi70+upper_wick,332,37.65060240963856,-2399,0.7951148689042616
break,bear,stoch80+vol_big,171,35.08771929824561,-1347,0.7905783582089553
break,down,stoch80+vol_big,171,35.08771929824561,-1347,0.7905783582089553
break,bear,stoch80+stoch_dead,273,34.798534798534796,-2266,0.774549796040195
break,down,stoch80+stoch_dead,273,34.798534798534796,-2266,0.774549796040195
break,break1,rsi70+vol_big,186,36.02150537634409,-1617,0.763007474717866
break,bear,rsi70,609,35.139573070607554,-5823,0.7422881168400088
break,bear,rsi70+upper_wick,609,35.139573070607554,-5823,0.7422881168400088
break,down,rsi70,613,35.07340946166394,-5861,0.7421582860410892
break,down,rsi70+upper_wick,610,35.08196721311476,-5885,0.740256874255197
break,bear,stoch_dead+rsi70,577,35.008665511265164,-5674,0.7343011004448607
break,down,stoch_dead+rsi70,581,34.93975903614458,-5712,0.7342143222744405
break,break1,rsi70+macd_weak,294,35.714285714285715,-2888,0.7295373665480427
break,bear,stoch80+rsi70,235,33.61702127659574,-2475,0.72165991902834
break,down,stoch80+rsi70,235,33.61702127659574,-2475,0.72165991902834
break,down,rsi70+macd_weak,489,34.56032719836401,-5208,0.713215859030837
break,bear,rsi70+macd_weak,485,34.63917525773196,-5170,0.7131602308033733
break,break1,stoch80,109,33.02752293577982,-1133,0.7065527065527065
break,break1,stoch80+upper_wick,109,33.02752293577982,-1133,0.7065527065527065
break,bear,stoch80+macd_weak,193,32.64248704663213,-2221,0.6976174268209666
break,down,stoch80+macd_weak,193,32.64248704663213,-2221,0.6976174268209666
break,break1,stoch80+macd_weak,86,31.3953488372093,-962,0.6884715025906736
break,down,rsi70+vol_big,374,32.62032085561498,-4553,0.6882360996987127
break,bear,rsi70+vol_big,371,32.61455525606469,-4527,0.6873618784530386
break,break1,stoch80+stoch_dead,101,31.683168316831683,-1132,0.6866869637420426
break,break1,stoch80+rsi70,103,32.038834951456316,-1236,0.6686327077747989
momentum,down,vol_big+upper_wick,5246,30.385055280213496,-85617,0.5881996450370114
break,bear,vol_big,7734,30.191362813550555,-127358,0.5845143021192192
break,bear,vol_big+upper_wick,7734,30.191362813550555,-127358,0.5845143021192192
break,two,vol_big,4450,30.359550561797754,-73385,0.5842398078274073
break,two,vol_big+upper_wick,4450,30.359550561797754,-73385,0.5842398078274073
momentum,down,vol_big,5439,30.2261445118588,-90153,0.5831749774602955
momentum,down,macd_weak+vol_big,5439,30.2261445118588,-90153,0.5831749774602955
break,down,vol_big+upper_wick,7822,30.12017386857581,-129604,0.5825581694967662
break,down,vol_big,8076,30.02724120851907,-134997,0.5798961853725937
break,two,macd_weak+vol_big,4330,30.23094688221709,-72335,0.5793302782171769
break,two,stoch_dead+vol_big,3867,30.30773209206103,-64604,0.5777378345697571
break,bear,,11077,30.215762390538952,-184889,0.5762682342695407
break,bear,upper_wick,11077,30.215762390538952,-184889,0.5762682342695407
break,bear,stoch_dead+vol_big,6834,30.09950248756219,-114893,0.5753966347486409
break,down,upper_wick,11179,30.14580910636014,-187513,0.5745476904646298
momentum,down,rsi70,58,34.48275862068966,-816,0.5741127348643006
momentum,down,stoch_dead+rsi70,58,34.48275862068966,-816,0.5741127348643006
momentum,down,rsi70+macd_weak,58,34.48275862068966,-816,0.5741127348643006
momentum,down,rsi70+upper_wick,58,34.48275862068966,-816,0.5741127348643006
break,down,,11475,30.056644880174293,-193915,0.572245065426663
break,down,stoch_dead+vol_big,7132,29.949523275378574,-121454,0.5714578070088775
break,bear,macd_weak+vol_big,7170,29.9442119944212,-122320,0.5704317105119912
momentum,down,stoch_dead+vol_big,4669,29.985007496251875,-80128,0.569350166341508
break,bear,stoch_dead,9964,30.16860698514653,-168818,0.5689360648161151
break,bear,stoch_dead+upper_wick,9964,30.16860698514653,-168818,0.5689360648161151
momentum,two,vol_big,5205,30.182516810758887,-85620,0.5682147125718003
momentum,two,macd_weak+vol_big,5205,30.182516810758887,-85620,0.5682147125718003
momentum,two,vol_big+upper_wick,5205,30.182516810758887,-85620,0.5682147125718003
break,down,stoch_dead+upper_wick,10054,30.107419932365225,-170968,0.5676665301147542
break,down,macd_weak+vol_big,7511,29.78298495539875,-129897,0.5662914895677171
momentum,two,stoch_dead+vol_big,4069,30.081101007618578,-67548,0.565621684190219
break,two,,6161,29.96266839798734,-106567,0.5656177393714589
break,two,upper_wick,6161,29.96266839798734,-106567,0.5656177393714589
break,down,stoch_dead,10313,30.020362649083683,-176616,0.5654016225832884
break,bear,macd_weak,10130,30.009871668311945,-174050,0.5639538525134347
break,bear,macd_weak+upper_wick,10130,30.009871668311945,-174050,0.5639538525134347
momentum,bear,vol_big,7429,29.923273657289002,-124148,0.5635767944963739
momentum,bear,macd_weak+vol_big,7429,29.923273657289002,-124148,0.5635767944963739
momentum,bear,vol_big+upper_wick,7429,29.923273657289002,-124148,0.5635767944963739
break,down,macd_weak+upper_wick,10232,29.935496481626274,-176674,0.5622091496141819
break,two,macd_weak,5953,29.86729380144465,-103911,0.5616401948997026
break,two,macd_weak+upper_wick,5953,29.86729380144465,-103911,0.5616401948997026
break,break1,vol_big+upper_wick,6534,29.660238751147844,-114218,0.5605428095434136
break,down,macd_weak,10527,29.847059941103826,-183014,0.5601576581989474
break,two,stoch_dead,5470,29.926873857404026,-95680,0.5598713838199374
break,two,stoch_dead+upper_wick,5470,29.926873857404026,-95680,0.5598713838199374
break,break1,vol_big,6788,29.566882734236888,-119611,0.5582675042562699
break,break2,vol_big+upper_wick,5946,29.616548940464178,-104382,0.5581714285714285
break,bear,stoch_dead+macd_weak,9240,29.956709956709958,-161130,0.5571149390218763
break,break1,macd_weak+vol_big,6628,29.541339770669882,-117476,0.5559738443512114
break,break2,vol_big,6192,29.521963824289404,-109654,0.5557023212845873
break,two,stoch_dead+macd_weak,5307,29.809685321273786,-93929,0.5550286607608129
break,break1,upper_wick,9146,29.72884321014651,-160562,0.5548772711899178
break,break2,macd_weak+vol_big,6101,29.486969349287,-108472,0.5543266129529272
momentum,bear,stoch_dead+vol_big,5915,29.687235841081993,-101590,0.5542304013198888
break,down,stoch_dead+macd_weak,9588,29.808093450146018,-168866,0.5538723696550996
break,break1,,9442,29.633552213514086,-166964,0.5527446505298573
momentum,break1,vol_big+upper_wick,6171,29.62242748339005,-106142,0.5526361264598901
break,break1,macd_weak+upper_wick,8831,29.724832974748043,-155872,0.5522039030472267
break,break2,upper_wick,8195,29.603416717510676,-145120,0.5512580668103515
break,break2,macd_weak+upper_wick,8011,29.64673573835975,-141877,0.5508402137574714
momentum,break1,vol_big,6439,29.53874825283429,-111728,0.5506416933787539
momentum,break1,macd_weak+vol_big,6439,29.53874825283429,-111728,0.5506416933787539
break,break1,macd_weak,9126,29.629629629629626,-162212,0.5501845437983024
break,break1,stoch_dead+vol_big,6029,29.45762149610217,-108238,0.5499665295973989
break,break1,stoch_dead+upper_wick,8302,29.691640568537704,-147364,0.5493579687409215
break,break2,,8482,29.50954963452016,-151384,0.5489866022350464
break,break2,macd_weak,8298,29.54928898529766,-148141,0.5485322979776431
break,break1,stoch_dead,8561,29.599345870809486,-153012,0.5472267594631063
break,break2,stoch_dead+vol_big,5453,29.415000916926466,-98451,0.5469517919266663
momentum,break1,stoch_dead+vol_big,5328,29.56081081081081,-93381,0.546828366357535
momentum,break2,vol_big+upper_wick,5855,29.37660119555935,-102580,0.5458349013791424
break,break2,stoch_dead+upper_wick,7378,29.57441040932502,-132191,0.5452775474962763
break,break1,stoch_dead+macd_weak,8300,29.59036144578313,-149240,0.5444555688505776
break,break2,stoch_dead,7628,29.48348190875721,-137701,0.5429892336081352
momentum,break2,vol_big,6089,29.282312366562653,-107808,0.5429288539727898
momentum,break2,macd_weak+vol_big,6089,29.282312366562653,-107808,0.5429288539727898
momentum,down,upper_wick,12334,30.168639532998213,-219833,0.5428156084859652
momentum,down,macd_weak+upper_wick,12334,30.168639532998213,-219833,0.5428156084859652
break,break2,stoch_dead+macd_weak,7480,29.518716577540104,-135110,0.5425721724351574
momentum,down,,12750,30.14117647058824,-227775,0.5417269414863116
momentum,down,macd_weak,12750,30.14117647058824,-227775,0.5417269414863116
momentum,break2,stoch_dead+vol_big,5003,29.322406556066362,-89336,0.5395336370946127
momentum,down,stoch_dead+upper_wick,11322,30.109521285991875,-205159,0.534307427601204
momentum,down,stoch_dead,11695,30.081231295425397,-212280,0.5333367041190269
momentum,down,stoch_dead+macd_weak,11695,30.081231295425397,-212280,0.5333367041190269
momentum,two,rsi70,78,34.61538461538461,-1251,0.530933633295838
momentum,two,stoch_dead+rsi70,78,34.61538461538461,-1251,0.530933633295838
momentum,two,rsi70+macd_weak,78,34.61538461538461,-1251,0.530933633295838
momentum,two,rsi70+upper_wick,78,34.61538461538461,-1251,0.530933633295838
momentum,break2,rsi70,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,stoch_dead+rsi70,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,rsi70+macd_weak,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,rsi70+upper_wick,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,upper_wick,14102,28.698057013189622,-270009,0.48651871291647647
momentum,break2,macd_weak+upper_wick,14102,28.698057013189622,-270009,0.48651871291647647
momentum,break2,,14582,28.69976683582499,-279629,0.4863764271964498
momentum,break2,macd_weak,14582,28.69976683582499,-279629,0.4863764271964498
momentum,break1,,16725,28.753363228699552,-319265,0.485854206859679
momentum,break1,macd_weak,16725,28.753363228699552,-319265,0.485854206859679
momentum,break1,upper_wick,16160,28.749999999999996,-308465,0.4852121467003111
momentum,break1,macd_weak+upper_wick,16160,28.749999999999996,-308465,0.4852121467003111
momentum,break2,stoch_dead+upper_wick,12628,28.793158061450747,-242366,0.48345282648911775
momentum,break2,stoch_dead,13058,28.786950528411705,-250921,0.4833433883165899
momentum,break2,stoch_dead+macd_weak,13058,28.786950528411705,-250921,0.4833433883165899
momentum,break1,stoch_dead,15149,28.813783087992604,-290233,0.4822704017924037
momentum,break1,stoch_dead+macd_weak,15149,28.813783087992604,-290233,0.4822704017924037
momentum,break1,stoch_dead+upper_wick,14635,28.8144858216604,-280560,0.4814249354461287
momentum,two,,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,macd_weak,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,upper_wick,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,macd_weak+upper_wick,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,stoch_dead,12942,28.372739916550767,-252809,0.4761683743770915
momentum,two,stoch_dead+macd_weak,12942,28.372739916550767,-252809,0.4761683743770915
momentum,two,stoch_dead+upper_wick,12942,28.372739916550767,-252809,0.4761683743770915
momentum,bear,,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,macd_weak,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,upper_wick,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,macd_weak+upper_wick,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,stoch_dead,21314,28.38040724406493,-417093,0.46736179396477967
momentum,bear,stoch_dead+macd_weak,21314,28.38040724406493,-417093,0.46736179396477967
momentum,bear,stoch_dead+upper_wick,21314,28.38040724406493,-417093,0.46736179396477967
momentum,bear,rsi70,159,33.33333333333333,-2853,0.4634192213654316
momentum,bear,rsi70+macd_weak,159,33.33333333333333,-2853,0.4634192213654316
momentum,bear,rsi70+upper_wick,159,33.33333333333333,-2853,0.4634192213654316
momentum,bear,stoch_dead+rsi70,156,32.69230769230769,-2897,0.4487155090390105
momentum,break1,rsi70,82,31.70731707317073,-1654,0.42005610098176716
momentum,break1,stoch_dead+rsi70,82,31.70731707317073,-1654,0.42005610098176716
momentum,break1,rsi70+macd_weak,82,31.70731707317073,-1654,0.42005610098176716
momentum,break1,rsi70+upper_wick,81,30.864197530864196,-1692,0.4067321178120617
